NO.,YEAR,TITLE,1,56,7,2,RUN TIME (Min) or number of episodes
1,2012,Act of Valor,2,25,6,1,110
2,2012,Alex Cross,2,74,2,1,101
3,2012,The Amazing Spider-man,2,2,2,1,136
4,2014,The Amazing Spider-man 2,2,2,2,1,142
5,2004,Anchor Man,2,80,2,1,104
6,1978,Animal House,2,101,6,1,109
7,2012,Argo,2,74,6,1,130
8,2010,The A-Team,2,24,2,1,117
9,2001,Atlantis: The Lost Empire,2,108,9,1,96
10,1997,Austin Powers: International Man of Mystery,2,42,2,1,89
11,1999,Austin Powers: The Spy Who Shagged Me,2,42,2,1,95
12,2002,Austin Powers in Goldmember,2,42,2,1,94
13,1985,Spys Like Us,2,42,9,1,102
14,2012,Avengers,2,16,2,1,143
15,2007,Balls of Fury,2,116,2,1,90
16,2005,Batman Begins,2,97,2,1,140
17,2008,Batman - Dark Knight,2,97,2,1,152
18,2012,Batman - Dark Knight Rises,2,97,2,1,165
19,2007-2008,Big Bang Theory Season 1,0,80,12,1,17
20,2008-2009,Big Bang Theory Season 2,0,80,12,1,23
21,2009-2010,Big Bang Theory Season 3,0,80,12,1,23
22,2010-2011,Big Bang Theory Season 4,0,80,12,1,24
23,2011-2012,Big Bang Theory Season 5,0,80,12,1,24
24,2012-2013,Big Bang Theory Season 6,0,80,12,1,24
25,2013-2014,Big Bang Theory Season 7,0,80,12,1,24
26,2001,Black Hawk Down,2,91,6,1,144
27,2007,Blades of Glory,2,19,2,1,93
28,1974,Blazing Saddles,2,48,6,1,95
29,2003,Blue Collar Comedy Tour,5,80,6,1,105
30,1980,Blues Brothers,2,15,6,1,133
31,1998,Blues Brothers 2000,2,15,2,1,123
32,1999,The Boondock Saints,2,17,3,1,108
33,2002,Bourne Identity,2,34,2,1,118
34,2004,Bourne Supremacy,2,34,2,1,108
35,2007,Bourne Ultimatum,2,34,2,1,116
36,1995,Braveheart,2,44,6,1,177
37,2003,Brother Bear,2,20,4,1,85
38,2003,Bruce Almighty,2,46,2,1,101
39,2012,The Campaign,2,80,6,1,95
40,2011,Captain America: The First Avenger,2,2,2,1,124
41,2014,Captain America Winter Soldier,2,2,2,1,136
42,2013,Captain Phillips,2,84,2,1,134
43,1965,A Charlie Brown's Christmas,2,115,4,1,25
44,2006,Cars,2,9,4,1,117
45,2003,Cheaper By The Dozen,2,90,9,1,98
46,2005,Cheaper By The Dozen 2,2,90,9,1,94
47,2000,Chicken Run,2,106,4,1,84
48,2005,"The Chronicles og Narnia: The Lion, The Witch, and The Wardrobe",2,32,9,1,143
49,2011,Cowboys & Aliens,2,1,2,1,118
50,2003,Daredevil,2,2,6,1,133
51,2008,Defiance,2,92,6,0,137
52,2013,Delivery Man,2,80,2,1,104
53,2006,The Departed,2,84,6,1,151
54,2013,Despicable Me 2,2,59,9,1,98
55,2012,The Dictator,2,80,3,1,83
56,2000,Dinosaur,2,112,9,1,82
57,2004,Dodgeball,2,28,3,1,92
58,2010,Due Date,2,78,6,1,95
59,2003,Elf,2,51,9,1,97
60,2000,The Emperor's New Groove,2,22,4,1,78
61,2007,Enchanted,2,68,9,1,107
62,2006,Eragon,2,109,9,1,104
63,2010,The Expendables,2,88,6,1,103
64,NA,Family Guy,4,102,11,1,5
65,2005,Fantastic 4,2,2,2,1,123
66,2007,Fantastic 4: Rise of the Silver Surfer,2,2,9,1,92
67,2007,Firehouse Dog,2,54,9,1,111
68,2008,Fireproof,2,69,9,1,122
69,2005,Four Brothers,2,23,6,1,108
70,2013,FreeBirds,2,62,9,1,91
71,2013,Frozen,2,62,9,1,102
72,1987,Full Metal Jacket,2,98,6,1,116
73,2014,Fury,2,60,6,1,134
74,2011,Game of Thrones Season 1,4,103,8,0,10
75,2012,Game of Thrones Season 2,4,103,8,0,10
76,2013,Game of Thrones Season 3,4,103,8,0,10
77,2013,Gangster Squad,2,84,6,1,113
78,2006,Garfield A Tail of Two Kitties,2,50,9,1,78
79,2008,Get Smart,2,24,2,1,110
80,1993,Gettysburg,2,8,9,1,271
81,2003,Gods and Generals,2,8,2,1,219
82,1984,Ghostbusters,2,85,9,1,105
83,2009,G.I. Joe Rise of Cobra,2,61,2,1,118
84,2000,Gladiator,2,38,6,1,155
85,2003,Good Boy,2,105,9,1,87
86,2008,Gran Torino,2,71,6,1,116
87,2013,Gravity,2,31,2,1,91
88,2013,The Great Gatsby,2,69,2,1,143
89,2011,The Green Hornet,2,15,2,1,119
90,2011,Green Lantern,2,2,2,1,114
91,2011,The Grey,2,53,6,1,117
92,2010,Grown Ups,2,80,2,1,102
93,2013,Grown Ups 2,2,80,2,1,101
94,2013,Grudge Match,2,19,2,1,113
95,2014,Guardians of The Galaxy,2,2,2,1,121
96,2007,Hairspray,2,3,9,1,117
97,2011,Hall Pass,2,65,6,1,105
98,2009,The Hangover,2,80,6,1,100
99,2013,Hansel and Gretel Witch Hunters,2,119,6,1,88
100,2001,Harry Potter 1 SS,2,6,9,1,152
101,2002,Harry Potter 2 CS,2,6,9,1,161
102,2004,Harry Potter 3 PA,2,6,9,1,142
103,2005,Harry Potter 4 GF,2,6,2,1,157
104,2007,Harry Potter 5 OP,2,6,2,1,138
105,2009,Harry Potter 6 HBP,2,6,2,1,153
106,2010,Harry Potter 7 DH pt. 1,2,6,2,1,146
107,2011,Harry Potter 8 DH pt 2,2,6,2,1,130
108,2012,Hatfields & McCoys,3,8,11,0,290
109,1995,Heat,2,81,6,1,170
110,2013,The Heat,2,45,6,1,117
111,2004,Hellboy ,2,104,2,1,122
112,2008,Hellboy II: The Golden Army,2,104,2,1,120
113,2012,Here Comes The Boom,2,111,9,1,105
114,2012,The Hobbit: An Unexpected Journey,2,30,2,1,169
115,2013,The Hobbit: Desolation of Smaug,2,30,2,1,161
116,2014,The Hobbit: The Battle of the Five Armies,2,30,2,1,144
117,2003,Holes,2,7,9,1,117
118,1990,Home Alone,2,113,9,1,103
119,1992,Home Alone 2: Lost in New York,2,113,9,1,120
120,1997,Home Alone 3,2,113,9,1,102
121,2002,Home Alone 4,2,113,9,1,89
122,2011,Horrible Bosses,2,18,6,1,98
123,1991,Hot Shots,2,80,2,1,84
124,1993,Hot Shots Part Deux,2,80,2,1,86
125,2014,How to Train your Dragon 2,2,118,9,1,102
126,2012,The Hunger Games,2,114,2,1,142
127,2014,The Hunger Games: Mockingjay - Part 1,2,114,2,1,123
128,2008,The Hurt Locker,2,14,6,1,131
129,2002,Ice Age,2,9,9,1,81
130,2006,Ice Age: The Meltdown,2,9,9,1,91
131,2009,Ice Age: Dawn of the Dinorsaurs,2,9,9,1,94
132,2006,Idiocracy,2,21,6,1,84
133,2004,The Incredibles,2,118,9,1,115
134,1984,Indian Jones and the Temple of Doom,2,110,9,1,118
135,2009,Inglorious Bastards,2,83,6,1,153
136,2013,The Internship,2,80,3,1,119
137,2008,Ironman,2,2,2,1,126
138,2014,Jack Ryan: Shadow Recruit,2,57,2,1,105
139,1995,James Bond - Golden Eye,2,52,2,1,130
140,1999,James Bond - The World is Not Enough,2,52,2,1,128
141,2002,James Bond - Die Another Day,2,52,2,1,133
142,1997,James Bond - Tomorrow Never Dies,2,52,2,1,119
143,2006,James Bond - Casino Royal,2,52,2,1,144
144,2008,James Bond - Quantum of Solice,2,52,2,1,106
145,2012,James Bond - Skyfall,2,52,2,1,143
146,1983,John Candy - Going Beserk,2,80,6,1,85
147,1988,John Candy - The Great Outdoors,2,80,9,1,91
148,1989,John Candy - Uncle Buck,2,80,9,1,100
149,2003,Johnny English,2,10,9,1,87
150,2011,Johnny English Reborn,2,10,9,1,101
151,2000,Joseph King of Dreams,2,58,9,1,75
152,1998,The Prince of Egypt,2,58,9,1,75
153,1993,Jurassic Park ,2,26,2,1,127
154,2001,Jurassic Park III,2,26,2,1,92
155,2003,Kangaroo Jack,2,24,9,1,89
156,2005,Kicking & Screaming,2,113,9,1,95
157,2002,Big Fat Liar,2,113,9,1,88
158,2010,Killers,2,73,2,1,100
159,2013,Killing Season,2,70,6,1,91
160,2010,The Kings Speech,2,29,6,1,118
161,2005,Kiss Kiss Bang Bang,2,15,6,1,103
162,1988,Land Before Time,2,99,4,1,69
163,1995,Land Before Time: The Time of the Great Giving,2,99,4,1,71
164,1992,The Last of The Mohicans,2,66,6,1,112
165,2014,The Lego Movie,2,9,9,1,100
166,2012,Les Miserables ,2,86,2,1,158
167,2013,Lone Survivor,2,60,6,1,121
168,2003,Loony Toons Back in Action,2,9,9,1,91
169,2012,Looper,2,107,6,1,119
170,2001,Lord of the Rings: The Fellowship of the Ring,2,30,2,1,208
171,2002,Lord of the Rings: The Two Towers,2,30,2,1,223
172,2003,Lord Of the Rings: Return of the King,2,30,2,1,251
173,2005,The Longest Yard,2,37,2,1,113
174,2003,Lost in Translation,2,71,6,1,101
175,2006,Lucky Number Slevin,2,76,6,1,110
176,2005,Madagascar,2,9,9,1,86
177,2008,Madagascar: Escape 2 Africa,2,9,9,1,89
178,2013,Man of Steel,2,2,2,1,143
179,1999,The Matrix,2,40,6,1,136
180,2003,The Matrix Reloaded,2,40,6,1,138
181,2003,The Matrix Revolutions,2,40,6,1,129
182,2003,The Animatrix,2,43,2,1,102
183,1997,Men in Black,2,85,2,1,98
184,2014,A Million Ways to Die in the West,2,121,6,1,116
185,1993,Mrs. Doubtfire,2,105,2,1,125
186,2007,Mr. Magorium's Wonder Imporium,2,51,4,1,93
187,2005,Mr. & Mrs. Smith,2,15,2,1,120
188,2014,Mr. Peabody and Sherman,2,9,9,1,92
189,2009,Monsters vs. Aliens,2,118,9,1,94
190,2001,Monsters Inc.,2,9,4,1,92
191,2014,Monuments Men,2,98,2,1,118
192,1979,The Muppets Movie,2,117,4,1,95
193,2011,The Muppets,2,117,9,1,103
